,city,date,SO2,O3,NO2,PM10,PM25,avg temp,max temp,min temp,rain,wind,humid
0,강원,2021-09-30,0.0016666666666666668,0.020666666666666667,0.0045,9.666666666666666,4.666666666666667,19.533333333333335,25.833333333333332,15.0,NaN,1.2,83.96666666666667
1,경기,2021-09-30,0.002,0.016,0.02375,17.5,7.0,19.0,25.666666666666668,15.0,NaN,0.8333333333333334,89.76666666666667
2,경남,2021-09-30,0.002466666666666667,0.028666666666666663,0.011899999999999999,11.0,7.666666666666667,21.25,27.6,16.2,16.95,1.0,85.75
3,경북,2021-09-30,0.0026999999999999997,0.030666666666666665,0.006233333333333334,15.333333333333334,6.666666666666667,20.299999999999997,27.0,15.600000000000001,1.8,0.9,83.3
4,광주,2021-09-30,0.0030666666666666668,0.03666666666666667,0.010666666666666666,14.666666666666666,8.333333333333334,23.5,32.4,17.2,2.0,NaN,67.9
5,대구,2021-09-30,0.001,0.037333333333333336,0.007899999999999999,8.666666666666666,5.333333333333333,21.9,27.0,18.1,7.6,2.0,82.0
6,대전,2021-09-30,0.002466666666666667,0.029666666666666664,0.014433333333333333,16.666666666666668,10.333333333333334,21.9,27.6,18.3,NaN,1.0,83.6
7,부산,2021-09-30,0.003533333333333334,0.029666666666666664,0.0143,11.666666666666666,6.333333333333333,22.1,25.4,19.9,36.7,2.9,86.1
8,서울,2021-09-30,0.0023666666666666667,0.016666666666666666,0.020233333333333336,20.666666666666668,9.333333333333334,20.3,25.9,16.0,NaN,1.5,83.9
9,울산,2021-09-30,0.0021666666666666666,0.032,0.008166666666666668,11.0,6.0,21.3,25.4,18.6,23.2,1.9,90.0
10,인천,2021-09-30,0.0030000000000000005,0.016333333333333335,0.024066666666666667,18.0,9.333333333333334,20.8,24.6,16.9,NaN,2.2,78.1
11,전남,2021-09-30,0.0019333333333333331,0.024000000000000004,0.0047666666666666664,16.333333333333332,8.0,21.899999999999995,26.833333333333332,18.599999999999998,12.0,2.3333333333333335,88.2
12,전북,2021-09-30,0.0021,0.03466666666666667,0.008,24.0,12.333333333333334,21.599999999999998,27.833333333333332,17.400000000000002,0.05,1.3666666666666665,79.53333333333333
13,제주,2021-09-30,0.0015333333333333334,0.042666666666666665,0.0070999999999999995,17.0,7.333333333333333,23.65,26.25,22.25,15.899999999999999,2.2,88.55
14,충남,2021-09-30,0.0031,0.034333333333333334,0.0094,22.0,12.0,20.733333333333334,27.96666666666667,16.566666666666666,0.4,1.0333333333333334,82.46666666666665
15,충북,2021-09-30,0.002033333333333333,0.02266666666666667,0.012266666666666667,22.666666666666668,12.666666666666666,20.5,27.3,16.400000000000002,NaN,0.8333333333333334,81.96666666666665
0,강원,2021-09-29,0.0016666666666666,0.0183333333333333,0.0046666666666666,7.333333333333333,3.333333333333333,19.0,21.46666666666667,16.599999999999998,7.466666666666666,1.0666666666666669,94.06666666666666
1,경기,2021-09-29,0.0019,0.019,0.0171,11.5,6.5,19.566666666666663,21.9,16.3,10.0,1.3,96.93333333333334
2,경남,2021-09-29,0.0028666666666666,0.019,0.0168666666666666,19.0,14.0,21.6,26.15,20.15,30.85,0.6,95.95
